NAME,ICAO,IATA,SYNOP,LAT,LONG,ELEV,COUNTRY
NB FREDERICTON AIRP,CYFC,YFC,71700,45.52N,066.31W,20,CA
NB GAGETOWN  (CAN M,CYCX,YCX,71701,45.49N,066.25W,51,CA
NB GRAND MANAN     ,CXGM,   ,71030,44.43N,066.48W,78,CA
NB MECHANIC SETTLE ,CWMK,   ,     ,45.42N,065.10W,1,CA
NB MIRAMICHI       ,CACQ,YCH,71717,47.01N,065.28W,31,CA
NB MISCOU ISL (MARS,CWMI,WMI,71719,48.01N,064.30W,3,CA
NB MONCTON AIRPORT ,CYQM,YQM,71705,46.07N,064.40W,71,CA
NB POINT LEPREAU   ,CWPE,WPE,     ,45.04N,066.28W,1,CA
NB PT. ESCUMINAC(MA,CWPJ,WPJ,71414,47.04N,064.47W,5,CA
NB SAINT JOHN      ,CYSJ,YSJ,71609,45.19N,065.52W,109,CA
NB SAINT LEONARD AR,CYSL,YSL,71703,47.08N,067.49W,241,CA
NB ST LEONARD AUTOB,CWIY,WIY,71019,47.08N,067.49W,241,CA
NB ST. STEPHEN (MAR,CWSS,WSS,71607,45.12N,067.15W,26,CA
NB CHARLO AIRPORT  ,CYCL,   ,     ,47.59N,066.20W,38,CA
NB CHATHAM         ,CYCH,   ,     ,47.00N,065.27W,31,CA
NB MIRAMICHI (AU8) ,CWCQ,WCQ,     ,47.00N,065.28W,34,CA
NL ARGENTIA (MARS) ,CWAR,WAR,71807,47.17N,054.00W,16,CA
NL BADGER (MARS)   ,CWDI,WDI,71400,48.58N,056.04W,105,CA
NL BONAVISTA       ,CWVA,WVA,71196,48.40N,053.07W,27,CA
NL BURGEO          ,CWBF,   ,     ,47.37N,057.38W,12,CA
NL CAPE KAKKIVIAK  ,CWKW,WKW,71176,59.58N,064.10W,551,CA
NL CAPE KIGLAPAIT  ,CWYK,WYK,71177,57.07N,061.28W,834,CA
NL CAPE RACE (MARS),CWRA,WRA,71800,46.38N,053.04W,28,CA
NL CARTWRIGHT      ,CWCA,   ,71818,53.42N,057.01W,14,CA
NL CARTWRIGHT      ,CYCA,   ,     ,53.41N,057.02W,12,CA
NL CHURCHILL FALLS ,CZUM,ZUM,71182,53.32N,064.05W,440,CA
NL DANIEL'S HARBOUR,CWDH,WDH,71185,50.13N,057.34W,19,CA
NL DEER LAKE AIRPOR,CYDF,YDF,71809,49.13N,057.24W,22,CA
NL ENGLEE (MAPS)   ,CWDA,WDA,71417,50.43N,056.07W,29,CA
NL FEROLLE PT. (MAP,CWXI,WXI,     ,51.01N,057.06W,6,CA
NL GANDER INTL AIRP,CYQX,YQX,71803,48.57N,054.35W,151,CA
NL GOOSE BAY AIRPOR,CYYR,YYR,71816,53.19N,060.25W,49,CA
NL GRATES COVE     ,CWVW,   ,71336,48.10N,052.56W,18,CA
NL HOLYROOD RADAR  ,CWTP,   ,     ,47.20N,053.11W,1,CA
NL HOPEDALE (MAPS) ,CWHO,WHO,71900,55.27N,060.13W,8,CA
NL LA SCIE         ,CWAG,   ,71337,49.55N,055.40W,192,CA
NL LONG POND       ,CWWU,   ,     ,47.31N,052.59W,13,CA
NL MAKKOVIK AIRPORT,CYFT,YFT,     ,55.04N,059.10W,71,CA
NL MARBLE MTN RADAR,CXME,   ,     ,48.56N,057.50W,1,CA
NL MARY'S HARBOUR  ,CYMH,YMH,     ,52.17N,055.51W,11,CA
NL NAIN AIRPORT    ,CYDP,YDP,71902,56.32N,061.40W,7,CA
NL PORT AUX BASQUES,CWZB,WZB,71197,47.34N,059.10W,40,CA
NL ROCKY HARBOUR   ,CXRH,XRH,71588,49.34N,057.53W,68,CA
NL SAGLEK (BAY)    ,CWZZ,WZZ,71804,58.19N,062.34W,483,CA
NL SAGLEK (BAY)    ,    ,   ,71335,58.20N,062.35W,501,CA
NL SAGONA ISL (MAPS,CWZN,WZN,71408,47.22N,055.48W,64,CA
NL SAINT ANTHONY   ,CWAX,WAX,71819,51.23N,056.05W,111,CA
NL SAINT ANTHONY   ,CWDW,   ,71558,51.23N,056.06W,29,CA
NL SAINT ANTHONY AR,CYAY,YAY,71830,51.23N,056.04W,28,CA
NL ST JOHNS ARP    ,CYYT,YYT,71801,47.37N,052.43W,140,CA
NL ST JOHNS WEST   ,CXSW,   ,71587,47.31N,052.47W,114,CA
NL STEPHENVILLE ARP,CYJT,YJT,71815,48.33N,058.34W,26,CA
NL TERRA NOVA      ,CXTP,XTP,71589,48.33N,053.58W,107,CA
NL TUKIALIK BAY    ,CWTU,WTU,71179,54.43N,058.21W,683,CA
NL TWILLINGATE (MAP,CWDO,   ,71402,49.40N,054.47W,92,CA
NL WABUSH LAKE AIRP,CYWK,YWK,71825,52.55N,066.52W,551,CA
NL WRECKHOUSE      ,CXWR,   ,71584,47.43N,059.19W,33,CA
NL ST PIERRE-FRANCE,LFVP,FVP,71805,46.46N,056.11W,8,FR
NS AMHERST (MARS)  ,CWAH,WAH,71410,45.51N,064.16W,23,CA
NS BEAVER ISLAND(MA,CWBV,WBV,71403,44.49N,062.19W,10,CA
NS BRIER ISLAND(AUT,CWVU,WVU,     ,44.17N,066.20W,16,CA
NS CAPE GEORGE (AUT,CWGU,WGU,     ,45.52N,061.54W,120,CA
NS CARIBOU POINT(MA,CWBK,WBK,71415,45.46N,062.40W,2,CA
NS CHETICAMP       ,CXCH,XCH,     ,46.38N,060.57W,44,CA
NS DEBERT          ,CZDB,   ,71317,45.25N,063.28W,38,CA
NS DIGBY ARPT (AWRS,CYID,YID,     ,44.32N,065.46W,152,CA
NS FOURCHU HEAD(MAP,CWRW,WRW,71416,45.43N,060.13W,10,CA
NS GRAND ETANG (AUT,CWZQ,WZQ,71413,46.32N,061.03W,17,CA
NS GREENWOOD (CAN M,CYZX,YZX,71397,44.59N,064.55W,28,CA
NS HALIFAX INTL ARP,CYHZ,YHZ,71395,44.52N,063.30W,145,CA
NS HART ISLAND (MAP,CWRN,WRN,71419,45.21N,060.59W,8,CA
NS INGONISH BEACH  ,CXIB,XIB,71027,46.40N,060.23W,8,CA
NS KEJIMKUJIK (AU8),CWKG,WKG,71599,44.26N,065.12W,165,CA
NS KENTVILLE (AUTOB,CXKT,XKT,71605,45.04N,064.29W,49,CA
NS LUNENBURG       ,CXLB,   ,     ,44.22N,064.18W,4,CA
NS MALAY FALLS     ,CXMY,XMY,     ,44.59N,062.29W,40,CA
NS MARION BRIDGE   ,CXMB,   ,     ,45.57N,060.12W,1,CA
NS MCNABS ISLAND   ,CXMI,XMI,     ,44.36N,063.32W,15,CA
NS NAPPAN (AUTO)   ,CXNP,   ,71311,45.45N,064.14W,20,CA
NS NORTH MOUNTAIN  ,CXNM,XNM,     ,46.49N,060.40W,439,CA
NS PORT HAWKESBURY ,CYPD,YPD,     ,45.40N,061.22W,114,CA
NS ROWAN GORILLA II,CWXO,WXO,     ,43.52N,060.32W,44,CA
NS SABLE ISLAND    ,CWSA,WSA,71600,43.56N,060.00W,4,CA
NS SABLE ISLAND(APT,CYSA,YSA,     ,43.55N,060.00W,4,CA
NS SHEARWATER(CAN M,CYAW,YAW,71601,44.38N,063.30W,51,CA
NS SHELBURNE       ,CWOS,WOS,71399,43.43N,065.15W,30,CA
NS ST. PAUL ISL(MAP,CWEF,WEF,71418,47.13N,060.07W,26,CA
NS SYDNEY AIRPORT  ,CYQY,YQY,71707,46.10N,060.02W,62,CA
NS TRACADIE        ,CXTD,   ,71308,45.37N,061.41W,68,CA
NS TRENTON MUNICIPA,CYTN,YTN,     ,45.37N,062.37W,97,CA
NS TRURO (MARS)    ,CWUR,WUR,71398,45.22N,063.16W,40,CA
NS WESTERN HEAD (MA,CWWE,WWE,71411,43.58N,064.40W,9,CA
NS YARMOUTH AIRPORT,CYQI,YQI,71603,43.50N,066.05W,43,CA
NT AKLAVIK AIRPORT ,CYKD,YKD,     ,68.13N,135.00W,7,CA
NT CAPE PARRY AUTO4,CZCP,   ,     ,70.10N,124.43W,93,CA
NT COLVILLE LAKE   ,CYVL,   ,     ,67.01N,126.08W,259,CA
NT DEADMAN VALLEY  ,CXDK,   ,71021,61.16N,124.28W,283,CA
NT DELINE          ,CXDE,XDE,71503,65.13N,123.26W,213,CA
NT EKATI (PWS)     ,CYOA,YOA,     ,64.42N,110.37W,469,CA
NT FORT FRANKLIN AR,CYWJ,YWJ,     ,65.13N,123.26W,176,CA
NT FORT GOOD HOPE A,CYGH,YGH,     ,66.16N,128.37W,66,CA
NT FORT LIARD AIRPO,CYJF,YJF,     ,60.13N,123.28W,215,CA
NT FORT MCPHERSON A,CZFM,ZFM,     ,67.24N,134.52W,43,CA
NT FORT NORMAN AIRP,CZFN,ZFN,     ,64.55N,125.34W,98,CA
NT FORT PROVIDENCE ,CWID,WID,71087,61.19N,117.36W,161,CA
NT FORT RESOLUTION ,CYFR,YFR,     ,61.10N,113.40W,164,CA
NT FORT SIMPSON ARP,CYFS,YFS,71946,61.45N,121.13W,169,CA
NT FT SIMPSON 71681,CXFS,   ,     ,61.45N,121.14W,169,CA
NT FORT SIMPSON    ,CZFS,   ,71365,61.46N,121.14W,168,CA
NT FORT SMITH AIRPO,CYSM,YSM,71934,60.02N,111.58W,203,CA
NT FORT SMITH      ,CZSM,   ,71362,60.02N,111.56W,203,CA
NT GATESHEAD ISLAND,CNGH,   ,71141,70.38N,100.16W,20,CA
NT HAY RIVER AIRPOR,CYHY,YHY,71935,60.49N,115.46W,166,CA
NT HAY RIVER       ,CZHY,   ,71361,60.50N,115.47W,164,CA
NT HANBURY RIVER   ,CWQY,   ,71963,63.36N,105.08W,318,CA
NT HOLMAN ISLAND AR,CYHI,YHI,     ,70.46N,117.47W,36,CA
NT HOLMAN CS       ,CXHI,   ,71029,70.46N,117.48W,30,CA
NT INDIAN RIVER    ,CWIE,WIE,71161,64.23N,115.01W,478,CA
NT INUVIK AIRPORT  ,CYEV,YEV,71957,68.19N,133.30W,68,CA
NT INUVIK          ,CZEV,   ,71364,68.19N,133.31W,103,CA
NT JEAN MARIER     ,CXJM,   ,71159,61.21N,120.47W,227,CA
NT KEATS POINT     ,CWKP,   ,71058,69.40N,121.40W,330,CA
NT LAC LA MARTRE   ,CWMT,   ,71163,63.08N,117.15W,271,CA
NT LINDBERG LANDING,CXLL,   ,71682,61.07N,122.51W,183,CA
NT LIVERPOOL BAY   ,CWLI,WLI,71960,69.35N,130.54W,102,CA
NT LOWER CARP LAKE ,CXLC,XLC,71680,63.36N,113.51W,373,CA
NT LUTSEL KE ARPT (,CYLK,YLK,     ,62.25N,110.40W,179,CA
NT LUTSEL KE CS    ,CXLU,   ,71529,62.25N,110.40W,179,CA
NT MOULD BAY       ,CYMD,YMD,71072,76.13N,119.19W,12,CA
NT MOULD BAY CAMP  ,CWMD,WMD,     ,76.13N,119.19W,12,CA
NT NORMAN WELLS ARP,CYVQ,YVQ,71043,65.16N,126.47W,74,CA
NT PAULATUK AIRPORT,CYPC,YPC,     ,69.22N,124.04W,6,CA
NT PELLY ISLAND    ,CWND,   ,71502,69.38N,135.26W,12,CA
NT QAVVIK LAKE     ,CXQA,   ,71583,68.15N,122.06W,530,CA
NT RAE LAKES       ,CYRA,YRA,     ,64.07N,117.19W,213,CA
NT RAE LAKES       ,CWYH,   ,71165,64.07N,117.22W,220,CA
NT ROBERTSON LAKE  ,CWTD,   ,71490,65.06N,102.26W,244,CA
NT SACHS HARBOUR(M ,CYSY,YSY,71051,72.00N,125.16W,86,CA
NT TRAIL VALLEY    ,CXTV,XTV,71683,68.45N,133.30W,85,CA
NT TUKTOYAKTUK     ,CYUB,YUB,71954,69.27N,133.01W,5,CA
NT TUKTUT NOGAIT NP,CXTN,XTN,71492,69.12N,122.21W,552,CA
NT WEKWEETI        ,CYWE,   ,     ,64.11N,114.05W,371,CA
NT WRIGLEY AIRPORT ,CYWY,YWY,     ,63.13N,123.25W,150,CA
NT YELLOWKNIFE AIRP,CYZF,YZF,71936,62.28N,114.27W,206,CA
NT YOHIN           ,CXYH,   ,71020,61.15N,123.45W,204,CA
NT CANADA/ARTCC    ,CZVE,ZVE,     ,70.10N,124.41W,1,CA
NU ALERT           ,CWLT,WLT,71082,82.30N,062.19W,63,CA
NU ALERT AIRPORT   ,CYLT,YLT,     ,82.31N,062.16W,31,CA
NU ALERT           ,CZLT,   ,71355,82.30N,062.20W,65,CA
NU ARCTIC BAY CS   ,CXAT,XAT,71592,73.00N,085.02W,19,CA
NU ARCTIC BAY      ,CYAB,   ,     ,73.00N,085.03W,22,CA
NU ARVIAT AIRPORT  ,CYEK,YEK,     ,61.06N,094.04W,10,CA
NU ARVIAT CLIMATE  ,CXAR,   ,71332,61.06N,094.04W,10,CA
NU BAKER LAKE AIRPO,CYBK,YBK,71926,64.17N,096.04W,18,CA
NU BAKER LAKE      ,CXBL,   ,71356,64.19N,096.00W,51,CA
NU BREVOORT ISLAND ,CWOB,WOB,71097,63.19N,064.09W,367,CA
NU QIKIQTARJUAQ    ,CYVM,   ,71338,67.32N,064.01W,6,CA
NU BROUGHTON ISLAND,CWVD,WVD,     ,67.31N,063.46W,573,CA
NU BROWN RIVER     ,CWBR,   ,71049,66.02N,091.50W,31,CA
NU CAMBRIDGE BAY AR,CYCB,YCB,71925,69.05N,105.07W,27,CA
NU CAMBRIDGE BAY   ,CXCM,   ,71288,69.06N,105.08W,19,CA
NU CAPE DORSET AIRP,CYTE,YTE,71910,64.13N,076.31W,47,CA
NU CAPE DYER AIRPOR,CWFD,WFD,71094,66.34N,061.35W,393,CA
NU CAPE HOOPER     ,CWUP,WUP,71093,68.28N,066.49W,390,CA
NU CAPE MERCY      ,CWYM,WYM,71975,64.57N,063.34W,583,CA
NU CAPE PEEL WEST  ,CWPX,WPX,71064,69.01N,107.49W,165,CA
NU CHESTERFIELD INL,CYCS,YCS,     ,63.21N,090.43W,11,CA
NU COPPERMINE AIRPO,CYCO,YCO,71938,67.49N,115.09W,22,CA
NU CORAL HARBOUR AR,CYZS,YZS,71915,64.12N,083.22W,64,CA
NU CROKER RIVER    ,CWXR,WXR,71059,69.16N,119.13W,69,CA
NU CYLDE AIRPORT   ,CYCY,YCY,71090,70.28N,068.31W,26,CA
NU DEWAR LAKES     ,CWUW,WUW,71092,68.39N,071.10W,527,CA
NU ENNADAI LAKE (MA,CWJC,WJC,71923,61.08N,100.54W,357,CA
NU EUREKA          ,CWEU,   ,71917,80.00N,085.55W,10,CA
NU EUREKA          ,CYEU,   ,     ,80.00N,085.49W,78,CA
NU FROBISHER/IQALUI,CYFB,YFB,71909,63.45N,068.33W,34,CA
NU IQALUIT (CYFB)  ,    ,   ,71321,63.45N,068.33W,34,CA
NU GJOA HAVEN AIRPO,CYHK,YHK,     ,68.37N,095.50W,46,CA
NU GJOA HAVEN      ,CZHK,   ,71363,68.38N,095.51W,42,CA
NU GRISE FIORD AIR ,CWGZ,WGZ,     ,76.25N,082.54W,45,CA
NU HALL BEACH AIRPO,CYUX,   ,71081,68.46N,081.15W,8,CA
NU HALL BEACH      ,CXUX,   ,71320,68.47N,081.15W,8,CA
NU HAT ISLAND      ,CWIL,WIL,71084,68.19N,100.04W,36,CA
NU IGLOOLIK AIRPORT,CYGT,YGT,     ,69.22N,081.49W,51,CA
NU ISACHSEN (MAPS) ,CWIC,WIC,71074,78.47N,103.33W,58,CA
NU LADY FRANKLIN PO,CYUJ,YUJ,71937,68.30N,113.13W,16,CA
NU LAKE HARBOUR ARP,CYLC,YLC,     ,62.51N,069.52W,53,CA
NU LONGSTAFF BLUFF ,CWLX,WLX,71091,68.54N,075.09W,162,CA
NU LUPIN ARPT (SAWR,CYWO,YWO,71496,65.46N,111.15W,494,CA
NU LUPIN (MAPS)    ,CWIJ,WIJ,     ,65.46N,111.14W,500,CA
NU NANISIVIK AIRPOR,CYSR,YSR,     ,72.58N,084.37W,649,CA
NU PANGNIRTUNG AIRP,CYXP,YXP,     ,66.09N,065.43W,23,CA
NU PELLY BAY 1     ,CWRF,WRF,71918,69.25N,089.43W,325,CA
NU PELLY BAY AIRPOR,CYBB,YBB,     ,68.31N,089.49W,15,CA
NU POND INLET AIRPO,CYIO,YIO,71095,72.40N,077.58W,57,CA
NU RAE POINT       ,CZRP,   ,71983,75.22N,105.43W,12,CA
NU RANKIN INLET ARP,CYRT,YRT,71083,62.49N,092.07W,32,CA
NU REPULSE BAY AIRP,CYUT,YUT,     ,66.31N,086.15W,24,CA
NU RESOLUTE AIRPORT,CYRB,YRB,71924,74.43N,094.58W,67,CA
NU RESOLUTE CS     ,CXRB,   ,71018,74.43N,094.59W,30,CA
NU RESOLUTION IS   ,CWRH,WRH,71972,61.34N,064.39W,369,CA
NU ROWLEY ISLAND   ,CWRX,WRX,71088,69.04N,079.01W,41,CA
NU SANIKILUAQ AIRPO,CYSK,YSK,     ,56.32N,079.15W,26,CA
NU SHEPHERD BAY ARP,CYUS,YUS,71911,68.49N,093.25W,42,CA
NU SPENCE BAY AIRPO,CYYH,YYH,     ,69.32N,093.34W,28,CA
NU STEFANSSON IS   ,CXSE,   ,71017,73.46N,105.17W,11,CA
NU WAGER BAY       ,CXWB,   ,     ,65.53N,089.27W,18,CA
NU WHALE COVE AIRPO,CYXN,YXN,     ,62.13N,092.35W,20,CA
NU IQALUIT CLIMATE ,CXFB,   ,     ,63.45N,068.33W,34,CA
ON ARMSTRONG (MARS),CYYW,   ,71841,50.18N,.88.54W,351,CN
ON ATIKOKAN (AUT)  ,CWCH,WCH,71747,48.45N,091.37W,424,CA
ON ATIKOKAN        ,    ,WIB,71748,48.45N,091.36W,393,CA
ON ATTAWAPISKAT    ,CYAT,   ,     ,52.56N,082.26W,9,CA
ON BANCROFT AUTOB  ,CWRK,WRK,     ,45.04N,077.52W,331,CA
ON BARRIE (MARS)   ,CWCU,WCU,71436,44.22N,079.46W,295,CA
ON BARRIE-ORO      ,CXBI,   ,71314,44.29N,079.33W,289,CA
ON BEAUSOLEIL ISL A,CWPB,WPB,71272,44.51N,079.52W,183,CA
ON BELLE RIVER AUT0,CWDD,WDD,71273,42.17N,082.42W,184,CA
ON BIG TROUT LAKE  ,CWTL,WTL,     ,53.49N,089.53W,222,CA
ON BIG TROUT LAKE  ,CYTL,YTL,71848,53.49N,089.53W,224,CA
ON BORDEN          ,CYBN,YBN,71534,44.16N,079.55W,223,CA
ON BRITT (MARS)    ,CWBI,WBI,71632,45.48N,080.32W,190,CA
ON BURLINGTON PIERS,CWWB,WWB,71437,43.18N,079.47W,76,CA
ON CAMERON FALLS   ,CXCA,XCA,71291,49.09N,088.21W,228,CA
ON CARIBOU ISL (MAP,CWCI,WCI,71433,47.19N,085.49W,187,CA
ON CHAPLEAU ARPT(SA,CYLD,YLD,     ,47.49N,083.20W,447,CA
ON CHATHAM         ,CYCK,   ,     ,42.18N,082.05W,198,CA
ON COBOURG (MARS)  ,CWNC,   ,71431,43.57N,078.10W,78,CA
ON COLLINGWOOD (AUT,CWCO,WCO,71270,44.27N,080.10W,221,CA
ON COVE ISLAND (MAP,CWWX,WWX,71439,45.19N,081.44W,181,CA
ON CYPRUS LAKE CS  ,CXCY,XCY,     ,45.14N,081.32W,190,CA
ON DELHI CS (AUT)  ,CXDI,XDI,71573,42.52N,080.33W,232,CA
ON DRYDEN AIRPORT  ,CYHD,YHD,     ,49.49N,092.45W,413,CA
ON DRYDEN          ,CXDR,   ,     ,49.51N,092.48W,413,CA
ON EAR FALLS (AUT) ,CXEA,XEA,71295,50.38N,093.13W,355,CA
ON EARLTON AIRPORT ,CYXR,YXR,71735,47.42N,079.50W,243,CA
ON EARLTON         ,CZXR,   ,71533,47.42N,079.50W,243,CA
ON EGBERT CS       ,CXET,XET,71296,44.14N,079.47W,251,CA
ON EGBERT (MAPS)   ,CWET,   ,71561,44.14N,079.47W,251,CA
ON ELLIOT LAKE (SAW,CYEL,YEL,     ,46.21N,082.34W,329,CA
ON ELORA RCS       ,CZEL,   ,71352,43.39N,080.25W,376,CA
ON ERIEAU (MAPS)   ,CWAJ,WAJ,71465,42.15N,081.54W,178,CA
ON EXETER RADAR    ,CWSO,   ,     ,43.22N,081.23W,1,CA
ON FT SEVERN       ,CYER,   ,71099,56.01N,087.41W,16,CA
ON FRANKTOWN       ,CXFT,   ,     ,45.02N,076.06W,122,CA
ON GERALDTON AIRPOR,CYGQ,YGQ,71834,49.46N,086.55W,351,CA
ON GODERICH (AUTOB),CWGD,WGD,71261,43.46N,081.43W,214,CA
ON GORE BAY AIRPORT,CYZE,YZE,71733,45.52N,082.34W,193,CA
ON GREAT DUCK ISLAN,CWNL,WNL,71462,45.37N,082.58W,183,CA
ON GRENADIER ISLAND,CWGH,WGH,71281,44.25N,075.51W,82,CA
ON HAMILTON AIRPORT,CYHM,YHM,71263,43.10N,079.56W,238,CA
ON HAMILTON RBG CS ,CXHM,XHM,71297,43.17N,079.54W,107,CA
ON HARROW CDA      ,CXHA,XHA,71298,42.02N,082.54W,191,CA
ON KAPUSKASING AIRP,CYYU,YYU,71831,49.25N,082.28W,227,CA
ON KAPUSKASING CDA ,CXKA,XKA,71299,49.24N,082.27W,218,CA
ON KATATOTA ISLAND ,CWKK,   ,     ,49.43N,088.20W,260,CA
ON KEMPTVILLE      ,CXKE,XKE,71300,45.00N,075.38W,99,CA
ON KENORA AIRPORT  ,CYQK,YQK,71850,49.46N,094.22W,411,CA
ON KILLARNEY (MAPS),CWBE,WBE,71460,45.59N,081.29W,196,CA
ON KINGSTON ARPT (M,CYGK,YGK,71620,44.13N,076.35W,93,CA
ON KIRKLAND LAKE   ,CXKI,   ,71301,48.13N,080.00W,324,CA
ON LADRIENNE RADAR ,CXLA,   ,     ,48.33N,077.48W,1,CA
ON LAGOON CITY     ,CWGL,WGL,71282,44.31N,079.13W,221,CA
ON LANSDOWNE HOUSE ,CWLF,WLF,71846,52.13N,087.52W,242,CA
ON LANSDOWNE HOUSE ,CYLF,   ,     ,52.14N,087.53W,242,CA
ON LANSDOWNE 71697 ,CYLH,   ,     ,52.12N,087.56W,254,CA
ON OSHAWA          ,    ,   ,71697,43.55N,078.53W,140,CA
ON LONDON CS       ,CWSN,   ,71622,43.02N,081.09W,278,CA
ON LONDON AIRPORT  ,CYXU,YXU,71623,43.01N,081.09W,278,CA
ON LONG POINT (MAPS,CWPS,WPS,71464,42.34N,080.02W,175,CA
ON MARATHON        ,CYSP,   ,     ,48.45N,086.21W,315,CA
ON MONTREAL RIV HAR,CWGJ,   ,     ,47.14N,084.35W,559,CA
ON MONTREAL RIV    ,CZGJ,   ,     ,47.15N,084.36W,520,CA
ON MOOSONEE (SAWR) ,CYMO,YMO,71836,51.17N,080.37W,10,CA
ON MOOSONEE        ,CWZC,   ,     ,51.17N,080.36W,11,CA
ON MOOSONEE RCS    ,CXZC,   ,71309,51.18N,080.37W,9,CA
ON MOUNT FOREST(MAR,CWLS,WLS,71631,43.58N,080.45W,415,CA
ON MUSKOKA AIRPORT ,CYQA,YQA,71630,44.58N,079.17W,282,CA
ON MUSKRAT DAM     ,CZMD,   ,     ,53.26N,091.46W,278,CA
ON NAGAGAMI (MARS) ,CWNZ,WNZ,71832,49.45N,084.10W,256,CA
ON NORTH BAY AIRPOR,CYYB,YYB,71731,46.21N,079.25W,371,CA
ON NORTHEAST ONT   ,CXTI,   ,     ,49.17N,081.47W,1,CA
ON OGOKI POST      ,CYKP,YKP,     ,51.40N,085.54W,179,CA
ON OLIPHANT (AUTOB),CWDF,WDF,71283,44.43N,081.16W,182,CA
ON OSHAWA          ,CYOO,   ,     ,43.55N,078.54W,139,CA
ON OTTAWA INTL     ,CYOW,YOW,71628,45.19N,075.40W,114,CA
ON OTTAWA CDA RCS  ,CXOA,   ,71063,45.23N,075.43W,79,CA
ON N ONTARIO PORTAB,CXQT,XQT,     ,48.26N,089.13W,183,CA
ON PARRY SOUND     ,CXPC,   ,71172,45.21N,080.03W,176,CA
ON PEAWANUCK       ,CYPO,YPO,     ,54.59N,085.26W,53,CA
ON PETAWAWA        ,CYWA,YWA,71625,45.57N,077.19W,130,CA
ON PETERBOROUGH ARP,CYPQ,YPQ,     ,44.13N,078.22W,191,CA
ON PICKLE LAKE     ,CYPL,YPL,71845,51.28N,090.12W,373,CA
ON POINT PETRE (MAR,CWQP,WQP,71430,43.50N,077.09W,79,CA
ON PORT COLBORNE(AU,CWPC,WPC,71463,42.52N,079.15W,184,CA
ON PORT WELLER (MAR,CWWZ,WWZ,71432,43.15N,079.13W,79,CA
ON PUKASKWA PARK   ,CWCJ,WCJ,     ,48.36N,086.17W,206,CA
ON RAWSON LAKE     ,CYTA,   ,     ,49.40N,093.44W,435,CA
ON RAWSON LAKE     ,CTRA,   ,     ,49.40N,093.44W,435,CA
ON RED LAKE AIRPORT,CYRL,YRL,71854,51.04N,093.47W,383,CA
ON RIDGETOWN RCS   ,CXRG,   ,71307,42.27N,081.53W,205,CA
ON ROQUEMAURE      ,CWGQ,WGQ,71736,48.37N,079.27W,269,CA
ON S.E. SHOAL (MAPS,CWNB,WNB,71466,41.49N,082.28W,195,CA
ON SANDY LAKE      ,CZSJ,   ,71098,53.04N,093.21W,290,CA
ON SARNIA AIRPORT  ,CYZR,YZR,71634,43.00N,082.18W,181,CA
ON SAULT STE MARIE ,CYAM,YAM,71260,46.28N,084.31W,192,CA
ON SIOUX LOOKOUT AR,CYXL,YXL,71842,50.07N,091.54W,390,CA
ON ST. CATHARINES A,CYSN,YSN,     ,43.12N,079.10W,98,CA
QC STERLING        ,CYQC,   ,     ,46.19N,077.38W,139,CA
ON SUDBURY AIRPORT ,CYSB,YSB,71730,46.38N,080.48W,348,CA
ON SUPERIOR W RADAR,CXNI,   ,     ,48.51N,089.07W,1,CA
ON TERRACE BAY (SAW,CYTJ,YTJ,     ,48.49N,087.05W,287,CA
ON THUNDER BAY     ,CYQT,YQT,71749,48.22N,089.19W,199,CA
ON THUNDER BAY     ,CZTB,   ,     ,48.22N,089.19W,199,CA
ON TIMMINS AIRPORT ,CYTS,YTS,71739,48.34N,081.22W,295,CA
ON TORONTO BUTTONVI,CYKZ,YKZ,71639,43.52N,079.22W,198,CA
ON TORONTO IL  VOR ,CYTZ,YTZ,71265,43.38N,079.24W,77,CA
ON TORONTO/PEARSON ,CYYZ,YYZ,71624,43.40N,079.37W,173,CA
ON TORONTO CITY    ,CXTO,   ,71508,43.40N,079.24W,113,CA
ON TRENTON (CAN MIL,CYTR,YTR,71621,44.07N,077.31W,86,CA
ON TROWBRIDGE (MAPS,CWAB,WAB,71461,48.17N,088.52W,218,CA
ON UPPER RIDEAU LAK,CWJM,WJM,71290,44.42N,076.17W,125,CA
ON UPSALA (MARS)   ,CWDV,WDV,71435,49.01N,090.28W,489,CA
ON UPSALA (RADAR)  ,CWIM,   ,     ,49.02N,090.25W,538,CA
ON VINELAND (AU8)  ,CXVN,XVN,71171,43.11N,079.24W,79,CA
ON WATERLOO WELL   ,CYKF,YKF,71368,43.28N,080.23W,317,CA
ON WAWA AIRPORT    ,CYXZ,YXZ,71738,47.58N,084.46W,287,CA
ON WELCOME ISLAND  ,CWEC,   ,71751,48.22N,089.07W,209,CA
ON WESTERN ISL (MAP,CWMZ,WMZ,71438,45.01N,080.22W,191,CA
ON WIARTON AIR     ,CYVV,YVV,71633,44.45N,081.05W,222,CA
ON WINDSOR AIRPORT ,CYQG,YQG,71538,42.16N,082.58W,190,CA
ON SIMCOE (MARS)   ,CWSI,WSI,71527,42.51N,080.16W,241,CA
ON KENORA/ONT VOR  ,CVBI,VBI,     ,49.28N,094.02W,394,CA
ON PICKLE LAKE     ,CWPL,WPL,     ,51.28N,090.12W,386,CA
ON ALFRED          ,CTAE,   ,71366,45.33N,074.53W,57,CA
ON ALEXANDRIA 71393,CTAL,   ,     ,45.19N,074.37W,77,CA
